benchmark,smt,event,duration,result
GUAVA-260_1,smt-271,update,1,
FASTJSON-79_1,smt-19,check,1,true
FASTJSON-39_1,smt-27,check,0,false
GUAVA-260_1,smt-362,check,0,false
FASTJSON-79_1,smt-95,check,0,false
FASTJSON-79_1,smt-95,solve,4,UNSAT
FASTJSON-79_1,smt-95,update,1,
FASTJSON-79_1,smt-84,check,1,true
FASTJSON-79_1,smt-78,check,0,true
FASTJSON-79_1,smt-80,check,1,true
FASTJSON-79_1,smt-33,check,0,true
FASTJSON-79_1,smt-73,check,3,true
SPOON-151_1,smt-1121,solve,1381,UNSAT
FASTJSON-104_1,smt-57,solve,1891,SAT
FASTJSON-79_1,smt-105,check,1,false
SPOON-151_1,smt-1121,update,34,
GUAVA-260_1,smt-362,solve,18,UNSAT
GUAVA-260_1,smt-362,update,1,
FASTJSON-39_1,smt-27,solve,13,UNSAT
FASTJSON-39_1,smt-27,update,1,
GUAVA-260_1,smt-394,check,3,false
SPOON-151_1,smt-57,check,1,false
FASTJSON-39_1,smt-18,check,1,false
FASTJSON-104_1,smt-90,check,0,false
GUAVA-260_1,smt-394,solve,39,SAT
FASTJSON-79_1,smt-105,solve,42,UNSAT
FASTJSON-79_1,smt-105,update,1,
GUAVA-260_1,smt-90,check,0,false
FASTJSON-79_1,smt-107,check,0,true
FASTJSON-79_1,smt-93,check,1,true
FASTJSON-79_1,smt-70,check,0,true
FASTJSON-79_1,smt-96,check,1,false
FASTJSON-79_1,smt-96,solve,11,UNSAT
FASTJSON-79_1,smt-96,update,6,
GUAVA-260_1,smt-90,solve,16,UNSAT
GUAVA-260_1,smt-90,update,1,
FASTJSON-79_1,smt-91,check,0,true
GUAVA-260_1,smt-220,check,2,false
FASTJSON-79_1,smt-35,check,1,true
FASTJSON-79_1,smt-98,check,1,true
FASTJSON-79_1,smt-56,check,4,true
FASTJSON-79_1,smt-28,check,0,true
FASTJSON-79_1,smt-34,check,1,true
FASTJSON-79_1,smt-68,check,0,true
SPOON-151_1,smt-57,solve,56,UNSAT
SPOON-151_1,smt-57,update,1,
FASTJSON-79_1,smt-11,check,0,true
FASTJSON-79_1,smt-50,check,0,true
FASTJSON-79_1,smt-44,check,0,true
FASTJSON-79_1,smt-16,check,6,true
FASTJSON-79_1,smt-94,check,0,true
SPOON-151_1,smt-804,check,1,false
FASTJSON-79_1,smt-9,check,3,true
FASTJSON-79_1,smt-12,check,0,true
FASTJSON-79_1,smt-61,check,1,true
FASTJSON-79_1,smt-108,check,0,true
FASTJSON-79_1,smt-22,check,1,true
FASTJSON-79_1,smt-62,check,0,true
FASTJSON-79_1,smt-63,check,0,true
FASTJSON-79_1,smt-41,check,1,true
FASTJSON-79_1,smt-72,check,0,true
FASTJSON-79_1,smt-112,check,0,true
FASTJSON-79_1,smt-6,check,1,true
FASTJSON-79_1,smt-103,check,1,true
FASTJSON-79_1,smt-29,check,0,true
FASTJSON-79_1,smt-5,check,0,true
FASTJSON-79_1,smt-86,check,1,true
GUAVA-260_1,smt-220,solve,73,SAT
FASTJSON-79_1,smt-106,check,0,true
FASTJSON-79_1,smt-15,check,0,true
FASTJSON-79_1,smt-14,check,0,true
GUAVA-260_1,smt-305,check,1,false
FASTJSON-79_1,smt-65,check,0,true
FASTJSON-79_1,smt-113,check,1,true
FASTJSON-79_1,smt-54,check,0,true
FASTJSON-79_1,smt-55,check,0,true
FASTJSON-79_1,smt-109,check,0,true
FASTJSON-79_1,smt-23,check,1,true
FASTJSON-79_1,smt-77,check,0,true
